Data;Close;;;;;
23.01.2025;34.35;;;;;
22.01.2025;33.68;;;;;
21.01.2025;34.13;;;;;
20.01.2025;34.19;;;;;
17.01.2025;34.33;;;;;
16.01.2025;32.65;;;;;
15.01.2025;32.44;;;;;
14.01.2025;31.42;;;;;
13.01.2025;30.35;;;;;
10.01.2025;30.82;;;;;
09.01.2025;30.78;;;;;
08.01.2025;31.08;;;;;
07.01.2025;31.87;;;;;
06.01.2025;33.17;;;;;
03.01.2025;32.22;;;;;
02.01.2025;32.11;;;;;
30.12.2024;30.27;;;;;
27.12.2024;30.71;;;;;
23.12.2024;30.24;;;;;
20.12.2024;31.53;;;;;
19.12.2024;32.69;;;;;
18.12.2024;33.49;;;;;
17.12.2024;34.32;;;;;
16.12.2024;34.37;;;;;
13.12.2024;32.43;;;;;
12.12.2024;32.65;;;;;
11.12.2024;32.5;;;;;
10.12.2024;30.6;;;;;
09.12.2024;31.4;;;;;
06.12.2024;31.72;;;;;
05.12.2024;32.37;;;;;
04.12.2024;30.58;;;;;
03.12.2024;30.8;;;;;
02.12.2024;31.13;;;;;
29.11.2024;31.5;;;;;
28.11.2024;30.51;;;;;
27.11.2024;30.86;;;;;
26.11.2024;30.28;;;;;
25.11.2024;31.03;;;;;
22.11.2024;32;;;;;
21.11.2024;31.24;;;;;
20.11.2024;30.11;;;;;
19.11.2024;29.58;;;;;
18.11.2024;29.46;;;;;
15.11.2024;28.7;;;;;
14.11.2024;28.28;;;;;
13.11.2024;29.62;;;;;
12.11.2024;27.6;;;;;
11.11.2024;26.78;;;;;
08.11.2024;24.01;;;;;
07.11.2024;23.8;;;;;
06.11.2024;23.44;;;;;
05.11.2024;21.77;;;;;
04.11.2024;21.22;;;;;
01.11.2024;21.95;;;;;
31.10.2024;21.96;;;;;
30.10.2024;22.44;;;;;
29.10.2024;22.73;;;;;
28.10.2024;21.51;;;;;
25.10.2024;21.38;;;;;
24.10.2024;21.26;;;;;
23.10.2024;20.74;;;;;
22.10.2024;21.09;;;;;
21.10.2024;20.94;;;;;
18.10.2024;21.45;;;;;
17.10.2024;21.03;;;;;
16.10.2024;21.18;;;;;
15.10.2024;20.57;;;;;
14.10.2024;20.45;;;;;
11.10.2024;19.23;;;;;
10.10.2024;18.77;;;;;
09.10.2024;19.3;;;;;
08.10.2024;19.19;;;;;
07.10.2024;19.73;;;;;
04.10.2024;19.08;;;;;
03.10.2024;18.56;;;;;
02.10.2024;18.97;;;;;
01.10.2024;19.2;;;;;
30.09.2024;19.43;;;;;
27.09.2024;20.14;;;;;
26.09.2024;19.78;;;;;
25.09.2024;19.39;;;;;
24.09.2024;19.2;;;;;
23.09.2024;19.34;;;;;
20.09.2024;19.16;;;;;
19.09.2024;19.25;;;;;
18.09.2024;18.15;;;;;
17.09.2024;18.6;;;;;
